timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,Load (N)
164553168,1,1,0,0,1,8145.9140625
164954795,1,1,0,0,1,7292.9765625
165356397,1,1,0,0,1,8049.15234375
165757997,1,1,0,0,1,7665.6884765625
166159585,1,1,0,0,1,7945.22314453125
166561186,1,1,0,0,1,7748.115234375
166962767,1,1,0,0,1,7490.083984375
167364361,1,1,0,0,1,7325.23046875
167765964,1,1,0,0,1,8307.18359375
168167582,1,1,0,0,1,7891.46630859375
168569184,1,1,0,0,1,8034.8173828125
168970784,1,1,0,0,1,8059.90380859375
169372381,1,1,0,0,1,7819.791015625
169773940,1,1,0,0,1,8034.8173828125
170175533,1,1,0,0,1,7787.537109375
170577134,1,1,0,0,1,8013.314453125
170978732,1,1,0,0,1,7998.9794921875
171380291,1,1,0,0,1,8024.06591796875
171781913,1,1,0,0,1,8156.66552734375
172183478,1,1,0,0,1,7934.4716796875
172585079,1,1,0,0,1,7522.337890625
172986661,1,1,0,0,1,7680.02392578125
173388254,1,1,0,0,1,8153.08154296875
173789805,1,1,0,0,1,7475.74853515625
174191407,1,1,0,0,1,7583.26171875
174593005,1,1,0,0,1,7525.92138671875
174994630,1,1,0,0,1,7798.2880859375
175396238,1,1,0,0,1,7819.791015625
175797841,1,1,0,0,1,8041.98486328125
176199436,1,1,0,0,1,8034.8173828125
176600996,1,1,0,0,1,7536.6728515625
177002605,1,1,0,0,1,7783.953125
177404186,1,1,0,0,1,7762.45068359375
177805784,1,1,0,0,1,7769.6181640625
178207388,1,1,0,0,1,8038.40087890625
178609007,1,1,0,0,1,8067.0712890625
179010605,1,1,0,0,1,7912.96875
179412182,1,1,0,0,1,8020.48193359375
179813773,1,1,0,0,1,7500.8349609375
180215367,1,1,0,0,1,7758.86669921875
180616970,1,1,0,0,1,8199.6708984375
181018567,1,1,0,0,1,8074.23876953125
181420161,1,1,0,0,1,7300.14404296875
181821781,1,1,0,0,1,7490.083984375
182223378,1,1,0,0,1,7952.390625
182624978,1,1,0,0,1,7762.45068359375
183026570,1,1,0,0,1,8303.6005859375
183428163,1,1,0,0,1,7912.96875
183829768,1,1,0,0,1,7952.390625
184231364,1,1,0,0,1,7891.46630859375
184632945,1,1,0,0,1,7644.18603515625
185034506,1,1,0,0,1,8224.7568359375
185436122,1,1,0,0,1,7805.4560546875
185837676,1,1,0,0,1,7525.92138671875
186239275,1,1,0,0,1,8199.6708984375
186640878,1,1,0,0,1,8235.5087890625
187042437,1,1,0,0,1,8059.90380859375
187444028,1,1,0,0,1,8188.91943359375
187845626,1,1,0,0,1,8242.67578125
188247220,1,1,0,0,1,7826.95849609375
188648826,1,1,0,0,1,8067.0712890625
189050405,1,1,0,0,1,7837.7099609375
189452003,1,1,0,0,1,7852.044921875
189853597,1,1,0,0,1,8002.5634765625
190255201,1,1,0,0,1,7697.94287109375
190656794,1,1,0,0,1,7733.7802734375
191058398,1,1,0,0,1,7536.6728515625
191459998,1,1,0,0,1,7576.09423828125
191861559,1,1,0,0,1,7318.06298828125
192263172,1,1,0,0,1,7877.13134765625
192664783,1,1,0,0,1,8217.58984375
193066341,1,1,0,0,1,8171.00048828125
193467912,1,1,0,0,1,7658.52099609375
193869509,1,1,0,0,1,8049.15234375
194271112,1,1,0,0,1,7959.55810546875
194672714,1,1,0,0,1,7794.70458984375
195074312,1,1,0,0,1,8045.568359375
195475909,1,1,0,0,1,7977.47705078125
195877531,1,1,0,0,1,8031.2333984375
196279132,1,1,0,0,1,7769.6181640625
196680727,1,1,0,0,1,8142.33056640625
197082325,1,1,0,0,1,7948.806640625
197483921,1,1,0,0,1,7694.35888671875
197885479,1,1,0,0,1,7540.2568359375
198287092,1,1,0,0,1,7558.17529296875
198688683,1,1,0,0,1,7966.7255859375
199090265,1,1,0,0,1,8092.15771484375
199491854,1,1,0,0,1,8138.74658203125
199893446,1,1,0,0,1,7594.01318359375
200295041,1,1,0,0,1,8174.58447265625
200696641,1,1,0,0,1,7318.06298828125
201098233,1,1,0,0,1,8597.4697265625
201499830,1,1,0,0,1,7482.91650390625
201901431,1,1,0,0,1,8181.751953125
202303028,1,1,0,0,1,8253.427734375
202704642,1,1,0,0,1,7780.36962890625
203106198,1,1,0,0,1,7633.4345703125
203507801,1,1,0,0,1,7973.89306640625
203909403,1,1,0,0,1,8074.23876953125
204310999,1,1,0,0,1,8396.7783203125
204712599,1,1,0,0,1,7554.591796875
205114200,1,1,0,0,1,8063.4873046875
205515806,1,1,0,0,1,8131.5791015625
205917424,1,1,0,0,1,7278.64111328125
206319019,1,1,0,0,1,7339.5654296875
206720607,1,1,0,0,1,7748.115234375
207122205,1,1,0,0,1,7468.5810546875
207523804,1,1,0,0,1,7626.26708984375
207925410,1,1,0,0,1,8059.90380859375
208326962,1,1,0,0,1,7375.4033203125
208728559,1,1,0,0,1,7977.47705078125
209130120,1,1,0,0,1,7543.84033203125
209531735,1,1,0,0,1,7963.1416015625
209933327,1,1,0,0,1,8041.98486328125
210334929,1,1,0,0,1,7955.97412109375
210736525,1,1,0,0,1,7898.6337890625
211138123,1,1,0,0,1,7586.845703125
211539717,1,1,0,0,1,7869.9638671875
211941316,1,1,0,0,1,7561.75927734375
212342916,1,1,0,0,1,7289.392578125
212744532,1,1,0,0,1,7586.845703125
213146132,1,1,0,0,1,7461.41357421875
213547691,1,1,0,0,1,7511.58642578125
213949262,1,1,0,0,1,8088.57373046875
214350793,1,1,0,0,1,7726.61279296875
214752398,1,1,0,0,1,8167.4169921875
