timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,pressure (PSI)
124794985,0,0,0,0,1,-197.85202026367188
125196596,0,0,0,0,1,-219.52783203125
125598175,0,0,0,0,1,-197.34683227539062
125999740,0,0,0,0,1,-195.32717895507812
126401308,0,0,0,0,1,-190.62242126464844
126802904,0,0,0,0,1,-168.25302124023438
127204542,0,0,0,0,1,-217.82583618164062
127606143,0,0,0,0,1,-188.1064453125
128007740,0,0,0,0,1,-170.91160583496094
128409357,0,0,0,0,1,-213.4075469970703
128810955,0,0,0,0,1,-180.7438507080078
129212552,0,0,0,0,1,-166.9249725341797
129614147,0,0,0,0,1,-201.89837646484375
130015743,0,0,0,0,1,-202.57357788085938
130417359,0,0,0,0,1,-176.072021484375
130818960,0,0,0,0,1,-177.40574645996094
131220540,0,0,0,0,1,-212.72869873046875
131622137,0,0,0,0,1,-163.2770233154297
132023695,0,0,0,0,1,-187.9388427734375
132425304,0,0,0,0,1,-220.5497589111328
132826859,0,0,0,0,1,-167.4228973388672
133228453,0,0,0,0,1,-194.4862518310547
133630049,0,0,0,0,1,-190.95811462402344
134031670,0,0,0,0,1,-194.31808471679688
134433263,0,0,0,0,1,-171.90940856933594
134834860,0,0,0,0,1,-196.5050506591797
135236453,0,0,0,0,1,-167.92092895507812
135638049,0,0,0,0,1,-187.10092163085938
136039649,0,0,0,0,1,-181.74630737304688
136441249,0,0,0,0,1,-200.0428009033203
136842846,0,0,0,0,1,-224.98422241210938
137244447,0,0,0,0,1,-206.96775817871094
137646070,0,0,0,0,1,-177.40574645996094
138047662,0,0,0,0,1,-167.4228973388672
138449257,0,0,0,0,1,-162.78004455566406
138850852,0,0,0,0,1,-232.6834259033203
139252411,0,0,0,0,1,-221.9131317138672
139654012,0,0,0,0,1,-189.4479217529297
140055612,0,0,0,0,1,-215.78538513183594
140457207,0,0,0,0,1,-182.58206176757812
140858826,0,0,0,0,1,-211.7095184326172
141260383,0,0,0,0,1,-190.62242126464844
141661980,0,0,0,0,1,-209.1671905517578
142063581,0,0,0,0,1,-185.09133911132812
142465193,0,0,0,0,1,-209.6767120361328
142866784,0,0,0,0,1,-151.3805694580078
143268385,0,0,0,0,1,-227.2052764892578
143669974,0,0,0,0,1,-178.573486328125
144071576,0,0,0,0,1,-212.5590057373047
144473203,0,0,0,0,1,-203.9246063232422
144874771,0,0,0,0,1,-219.35755920410156
145276328,0,0,0,0,1,-176.40536499023438
146079519,0,0,0,0,1,136.09446716308594
146481115,0,0,0,0,1,145.68028259277344
146882718,0,0,0,0,1,164.38172912597656
147284273,0,0,0,0,1,138.131591796875
147685902,0,0,0,0,1,139.68942260742188
148087503,0,0,0,0,1,159.70535278320312
148489094,0,0,0,0,1,139.09024047851562
148890690,0,0,0,0,1,137.77210998535156
149292289,0,0,0,0,1,133.33836364746094
149693900,0,0,0,0,1,125.4292221069336
150095500,0,0,0,0,1,146.6399688720703
150497098,0,0,0,0,1,136.57379150390625
150898696,0,0,0,0,1,142.4456024169922
151300276,0,0,0,0,1,151.19427490234375
151701871,0,0,0,0,1,108.64724731445312
152103479,0,0,0,0,1,146.04075622558594
152505035,0,0,0,0,1,155.62928771972656
152906662,0,0,0,0,1,138.8505859375
153308257,0,0,0,0,1,129.2631072998047
153709859,0,0,0,0,1,135.13583374023438
154111457,0,0,0,0,1,149.39646911621094
154513077,0,0,0,0,1,124.94985961914062
154914673,0,0,0,0,1,148.1979522705078
155316229,0,0,0,0,1,135.7349853515625
155717826,0,0,0,0,1,133.8177032470703
156119427,0,0,0,0,1,143.16461181640625
156521032,0,0,0,0,1,127.82599639892578
156922631,0,0,0,0,1,150.95455932617188
157324228,0,0,0,0,1,146.16061401367188
157725822,0,0,0,0,1,143.28443908691406
158127445,0,0,0,0,1,121.11471557617188
158529007,0,0,0,0,1,155.62928771972656
158930605,0,0,0,0,1,155.02992248535156
159332166,0,0,0,0,1,155.14979553222656
159733738,0,0,0,0,1,130.34255981445312
160135318,0,0,0,0,1,124.94985961914062
160536921,0,0,0,0,1,146.16061401367188
160938518,0,0,0,0,1,125.78873443603516
161340100,0,0,0,0,1,141.60675048828125
161741694,0,0,0,0,1,144.48281860351562
162143293,0,0,0,0,1,140.4084014892578
162544895,0,0,0,0,1,146.40028381347656
162946500,0,0,0,0,1,144.96218872070312
163348098,0,0,0,0,1,142.08607482910156
163749693,0,0,0,0,1,154.55044555664062
164151294,0,0,0,0,1,122.79261779785156
164552897,0,0,0,0,1,148.7971954345703
164954519,0,0,0,0,1,151.4340057373047
165356121,0,0,0,0,1,154.67030334472656
165757721,0,0,0,0,1,132.2598876953125
166159312,0,0,0,0,1,136.09446716308594
166560911,0,0,0,0,1,135.9746551513672
166962495,0,0,0,0,1,174.0980987548828
167364086,0,0,0,0,1,157.18768310546875
167765688,0,0,0,0,1,150.71484375
168167310,0,0,0,0,1,124.23078155517578
168568912,0,0,0,0,1,146.40028381347656
168970509,0,0,0,0,1,134.65650939941406
169372105,0,0,0,0,1,151.79356384277344
169773665,0,0,0,0,1,167.37998962402344
170175257,0,0,0,0,1,126.62763214111328
170576863,0,0,0,0,1,130.34255981445312
170978459,0,0,0,0,1,130.22271728515625
171380021,0,0,0,0,1,131.900390625
171781637,0,0,0,0,1,126.86730194091797
172183204,0,0,0,0,1,145.92091369628906
172584805,0,0,0,0,1,122.07352447509766
172986387,0,0,0,0,1,135.85479736328125
173387976,0,0,0,0,1,145.6812286376953
173789533,0,0,0,0,1,114.5220718383789
174191127,0,0,0,0,1,159.8252410888672
174592731,0,0,0,0,1,145.3217010498047
174994354,0,0,0,0,1,137.05311584472656
175395965,0,0,0,0,1,121.47425842285156
175797568,0,0,0,0,1,168.8184051513672
176199164,0,0,0,0,1,143.40428161621094
176600723,0,0,0,0,1,151.4340057373047
177002332,0,0,0,0,1,175.29806518554688
177403912,0,0,0,0,1,137.05311584472656
177805510,0,0,0,0,1,159.46556091308594
178207113,0,0,0,0,1,127.58633422851562
178608731,0,0,0,0,1,159.58544921875
179010330,0,0,0,0,1,151.55384826660156
179411910,0,0,0,0,1,154.43057250976562
179813500,0,0,0,0,1,174.21807861328125
180215093,0,0,0,0,1,126.74746704101562
180616695,0,0,0,0,1,160.66452026367188
181018293,0,0,0,0,1,152.3928680419922
181419882,0,0,0,0,1,152.51272583007812
181821508,0,0,0,0,1,173.37815856933594
182223100,0,0,0,0,1,134.77633666992188
182624702,0,0,0,0,1,150.83470153808594
183026298,0,0,0,0,1,123.75045776367188
183427885,0,0,0,0,1,155.38954162597656
183829494,0,0,0,0,1,112.96359252929688
184231088,0,0,0,0,1,178.8986358642578
184632670,0,0,0,0,1,122.31322479248047
185435853,0,0,0,0,1,35.79690933227539
185837404,0,0,0,0,1,44.720272064208984
186239001,0,0,0,0,1,45.876678466796875
186640601,0,0,0,0,1,44.981414794921875
187042163,0,0,0,0,1,46.175071716308594
187443756,0,0,0,0,1,47.59223937988281
187845356,0,0,0,0,1,42.10822296142578
188246949,0,0,0,0,1,46.10047912597656
